RespondentID,Section,Course,Term,Open,Text,Q1R1,Q1R2,Q1R3,Q1R4,Q1R5,Q1R6,Q1R7,Q2,Q3R1,Q3R2,Q3R3,Q3R4,Q3R5,Q4R1,Q4R2,Q4R3,Q4R4,Q4R5,Q4R6,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q23Rev,Q24,Q25,Q26,Q26R1,Q26R2,Q26R3,Q26R4,Q26R5,Q26R6,Q26R7,Q26Other,Q27,Q27GPA
4403520814,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,1,0,0,0,Evince,0,0,1,0,0,0,0,1,0,0,0,5,1,1,1,5,5,4,5,4,4,3,3,4,3,It complemented the lectures well.,"I picked up the book several semesters ago hoping to read it in my free time. At that point I found it nearly impenetrable and quickly gave up on it. However, while taking this course I began reading through it and found that it was nearly trivial.    I believe the reason for this is the lack of formalism in the text. A reader unfamiliar with the material may read an explanation given in English prose and parse it differently than the intended way (thus encountering a lot of confusion). Meanwhile, a reader who already knows where this is going (perhaps after covering analogous material in computability, foundations, and other logic books, or even by just attending class) will find the explanations clear and easy to grasp because they'll understand and interpret things within the context of intuition they've acquired.",4,5,4,2,1,4,MATH,1,1,0,0,0,0,0,,A+,4.3
4403155322,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,1,0,0,0,,1,1,0,0,0,1,1,0,1,0,0,6,4,3,3,5,5,3,2,2,1,4,1,3,1,Unfortunately nothing.  ,"In my opinion, authors of the text assume that everyone has a natural tendency to understand formal issues easily. That is not true. Although I have some logic and math background, I did not understand most parts of the text. The second problem relates to very very limited solved exercises. The Book provides good examples, however they are not always helpful to solve other exercises. There are too many issues on the book, but too less explanations and solved exercises. ",3,1,3,3,1,2,PHIL,0,0,0,1,0,0,0,,B+,3.3
4402950106,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,6,4,2,4,5,5,1,4,2,2,3,1,1,2,It's intuitive in its descriptions. ,"I think it needs the ""Lemma Theorem Proof""  style of other texts that introduce formal material. I don't want to try and read through a wall of text and random italics every time I need a definition or lemma. ",4,1,4,2,1,4,MATH,1,0,0,0,0,0,0,,A-,3.7
4402795481,F15PHIL379,PHIL379,Fall,Commercial,BBJ,0,0,0,1,0,0,0,Adobe,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,1,1,2,1,2,3,3,1,1,1,Nothing,"Since my professor did not follow the book, it ended up creating a gap in direction. Where the prof would go in one direction and the book would go in the other. This was extremely evident in the book however, as if you were trying to go review some concepts the prof mentioned, you would need to know the previous concepts the book mentioned and not the previous concepts the professor mentioned.",1,1,5,1,1,2,CPSC,0,1,0,0,0,0,0,,W,0
4402768563,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,1,0,0,1,0,1,1,0,1,1,0,3,3,3,2,4,4,3,3,3,3,2,2,2,2,,,2,3,5,1,1,5,CPSC,0,1,0,0,0,0,0,,B+,3.3
4402753820,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,1,0,1,1,0,0,0,0,0,0,1,6,3,2,3,5,5,,,,,,,,,,,,,,,,,OTHR,0,0,0,0,0,0,0,,,
4388820831,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,4,4,2,3,3,5,2,,4,4,"It attempts to present logic in an almost conversational matter, explaining incrementally and giving informal examples before delving into the formality.","Very hard to find exact things you need. It's not divided up well into sections, and often important definitions lie in the middle of half-page long paragraphs.",2,4,3,3,1,2,MATH,1,1,0,0,0,0,0,,A+,4.3
4385247671,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,3,3,2,3,2,1,2,2,1,2,"For some of the more simple material, it was fairly easy to understand. It was helpful to read some of the theorems from it to do the homework problems. The questions at the end of each chapter were very similar to the homework and test questions.","Some sort of glossary would have been helpful because there are some terms that were difficult to remember that I had to look up repeatedly. There were no answers or hints for the practice problems so when I tried to do them to study, I would have no idea whether or not I was right. It's difficult to understand the proofs and theorems when they mostly just appear in walls of text. I found I had to constantly go back and re-read previous sentences in paragraphs to keep everything straight.",4,1,4,2,1,3,PHIL,0,0,0,1,0,0,0,,C,2
4384569388,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,4,2,3,1,4,4,4,2,2,,2,1,1,2,,"Very little in the way of highlighting, underlining, or separating the information. It was often just walls of text broken up by the occasional diagram",3,2,4,2,1,4,CPSC,0,1,0,0,0,0,0,,B+,3.3
4384501982,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,1,6,3,4,4,5,5,4,4,4,4,4,4,3,4,,,3,4,2,4,1,3,CPSC,0,1,0,0,0,0,0,,W,0
4384428586,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,3,2,3,2,2,2,2,2,1,,"Because I am not from a 1 or 1 background, the material was essentially inaccessible to me. Even when Professor Kazmi referred to the text in lecture, the text was like reading in a different language. The lectures and review sessions provided more than enough information and understanding to grasp the concepts. The text book, on the other hand, confused me by providing too much extra information that I was not learning. The course was amazing, the text book was not necessary and was never used by myself.",3,1,1,5,1,2,PHIL,0,0,0,1,0,0,0,,C+,2.3
